Label,k_eps,Slope_ENG,Slope_EST,R2_ENG,R2_EST,Deviation_ENG(%),Deviation_EST(%)
1,10.960478360887263,-3.6159108884688878,-5.411039303735646,0.8286579461124153,0.9976818223602691,116.95465330813326,35.275982593391156
5,6.010584907583338,-2.6808935865558374,-3.56341540091213,0.910494378813298,0.996803516021926,60.853615193350244,10.914614977196745
10,5.303457271397063,-3.0202758426723313,-3.5672538384481953,0.9668858022920738,0.9945090274692195,81.21655056033987,10.818654038795117
15,3.889201999024513,-2.916078411677414,-3.682688017028633,0.9694816899505122,0.9950697610650847,74.96470470064483,7.932799574284177
20,3.1820743628382377,-2.745125971182941,-3.914290339329365,0.954248937016215,0.9900615888247866,64.70755827097645,2.142741516765878
25,3.1820743628382377,-2.786979051698054,-4.111114387268444,0.9330671859162686,0.9913842219558979,67.21874310188323,2.7778596817110923
30,3.1820743628382377,-2.7222701261760816,-4.347262588735058,0.9597438578055799,0.9899543387545067,63.33620757056488,8.681564718376444
35,3.1820743628382377,-2.8311445605382706,-4.487664292693715,0.978091371756392,0.9876760239228746,69.86867363229624,12.191607317342879
40,3.1820743628382377,-2.87874541619807,-4.664040199646731,0.94748970094016,0.9887141995052614,72.7247249718842,16.601004991168278
45,3.1820743628382377,-2.9050028333993945,-5.163947243934627,0.9419175242331966,0.9864761181192289,74.30017000396366,29.098681098365663
50,1.7678190904656876,-2.3569879374008944,-5.3582425162110745,0.9353845491236523,0.9797944631585682,41.41927624405366,33.956062905276866
70,1.0606914542794126,-2.137714549034293,-5.855996183267462,0.8980906238524141,0.9833778366627635,28.262872942057577,46.39990458168655
90,1.0606914542794126,-2.291956395553152,-6.185925523352984,0.9305735073456378,0.9717038459508395,37.51738373318911,54.648138083824605
110,1.0606914542794126,-2.3750544869004875,-6.385077151904959,0.9200591919738917,0.9693047616951767,42.503269214029245,59.62692879762397
130,1.7678190904656876,-2.8119904128326376,-5.467943835162815,0.9373176772652012,0.9779724311832663,68.71942476995825,36.69859587907038
150,1.0606914542794126,-2.662062426453045,-5.675130604994606,0.9195290592419388,0.8914609204900203,59.7237455871827,41.878265124865145
